# Force and moment coefficients
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# magUInf               : 2.3659999999999999e+02
# lRef                  : 1.0330000000000000e-01
# Aref                  : 6.7799999999999996e-03
# CofR                  : (3.5000000000000003e-02 0.0000000000000000e+00 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
1700                    	2.0569003782159204e-02	1.2854012451558022e-02	7.7149913306011810e-03	-3.2014312029952772e-04	-5.2153847118579524e-04	2.0139535088626757e-04	-3.6146691103603140e-04	2.5695105604784207e-03	-1.4545862239486200e-02	1.7828077258810676e-01	7.4594524054567179e-02	1.0368624853353957e-01
1750                    	2.0570418619465621e-02	1.2610387885077397e-02	7.9600307343882237e-03	1.7716764001707495e-04	-3.9981894915034092e-04	5.7698658916741584e-04	-4.8840276915887838e-04	2.3251785753445882e-03	-1.4546209269345061e-02	1.7827780296697573e-01	7.4592692214142817e-02	1.0368511075283293e-01
1800                    	2.0579491943380677e-02	1.2572942916095946e-02	8.0065490272847300e-03	2.8721800543352510e-04	-3.6323307659856584e-04	6.5045108203209100e-04	-5.0684207931532836e-04	2.2831969444056075e-03	-1.4541975228290366e-02	1.7827603017505689e-01	7.4596039859238072e-02	1.0367999031581882e-01
1850                    	2.0586673529121250e-02	1.2747240456486657e-02	7.8394330726345926e-03	-5.2770917606084010e-05	-4.5438710625474112e-04	4.0161618864865706e-04	-4.2800164745169909e-04	2.4539036919260316e-03	-1.4537630931550385e-02	1.7827696942980975e-01	7.4600853783354487e-02	1.0367611564645526e-01
1900                    	2.0578973153526303e-02	1.2833511723230152e-02	7.7454614302961532e-03	-2.2756089794035989e-04	-5.0058792891678749e-04	2.7302703097642760e-04	-3.8680747994660755e-04	2.5440251464669984e-03	-1.4541103429942888e-02	1.7828016531705132e-01	7.4598979228582774e-02	1.0368118608846855e-01
1950                    	2.0571307542879350e-02	1.2919880987011214e-02	7.6514265558681391e-03	-4.0374441413549412e-04	-5.4203516511702775e-04	1.3829075098153369e-04	-3.4016295804928072e-04	2.6342272155715366e-03	-1.4544763965875123e-02	1.7828212639158755e-01	7.4596299229918644e-02	1.0368582716166889e-01
2000                    	2.0572686724115129e-02	1.3045963463971324e-02	7.5267232601438057e-03	-6.4784123743836315e-04	-5.9962465488427202e-04	-4.8216582554091067e-05	-2.7570403616509050e-04	2.7596201019137591e-03	-1.4544788122330505e-02	1.7828009283097068e-01	7.4595258293154831e-02	1.0368483453781584e-01
2050                    	2.0570553808007781e-02	1.3254402188653844e-02	7.3161516193539361e-03	-1.0617359359199649e-03	-6.9696579928542823e-04	-3.6477013663453652e-04	-1.6609783132544591e-04	2.9691252846499546e-03	-1.4547043025534169e-02	1.7827774956733766e-01	7.4591831758134663e-02	1.0368591780920300e-01
2100                    	2.0564574912060516e-02	1.3508030113562868e-02	7.0565447984976479e-03	-1.5969821993476819e-03	-8.3397293915838538e-04	-7.6300926018929647e-04	-3.5481839484544482e-05	3.2257426575326093e-03	-1.4550809497457594e-02	1.7827840769687800e-01	7.4588394350981399e-02	1.0369001334589659e-01
2150                    	2.0572786641674154e-02	1.3421520516031255e-02	7.1512661256428987e-03	-1.4237978616644374e-03	-7.9218662960866778e-04	-6.3161123205576959e-04	-8.0287698776449124e-05	3.1351271951941787e-03	-1.4546156321842519e-02	1.7827755329137912e-01	7.4592620323847045e-02	1.0368493296753208e-01
2200                    	2.0580697023644522e-02	1.3367035419106877e-02	7.2136616045376445e-03	-1.3158436781584239e-03	-7.5957499447881196e-04	-5.5626868367961179e-04	-1.0165315539960005e-04	3.0766869072846163e-03	-1.4541740043285055e-02	1.7827625905164665e-01	7.4596389482538272e-02	1.0367986956910838e-01
2250                    	2.0572930561500734e-02	1.3242528764878249e-02	7.3304017966224853e-03	-1.0802987125314556e-03	-7.0298144779633353e-04	-3.7731726473512218e-04	-1.6283209153060565e-04	2.9560634841278824e-03	-1.4545023056079539e-02	1.7827929204531656e-01	7.4594622966578733e-02	1.0368466907873783e-01
2300                    	2.0564542502517356e-02	1.3113059652293414e-02	7.4514828502239422e-03	-8.2901819781126785e-04	-6.3778707710554451e-04	-1.9123112070572334e-04	-2.2327797819991058e-04	2.8307884010347365e-03	-1.4548252979355285e-02	1.7828349216612377e-01	7.4593493103706596e-02	1.0368999906241717e-01
2350                    	2.0563817512135686e-02	1.3044778049678216e-02	7.5190394624574716e-03	-6.9988241388529852e-04	-6.0837401264951573e-04	-9.1508401235782723e-05	-2.5843280570686652e-04	2.7628692936103728e-03	-1.4547673209520056e-02	1.7828462293281716e-01	7.4594638256888529e-02	1.0368998467592863e-01
2400                    	2.0568270522868786e-02	1.2924544725179577e-02	7.6437257976892103e-03	-4.6108379625117376e-04	-5.5477515453420919e-04	9.3691358283035423e-05	-3.2423325640862230e-04	2.6404094637451831e-03	-1.4545632512580616e-02	1.7828230828979805e-01	7.4595521632318404e-02	1.0368678665747964e-01
2450                    	2.0571439017935414e-02	1.2707597193802935e-02	7.8638418241324792e-03	-2.2546755678459570e-05	-4.4979810757275485e-04	4.2725135189429524e-04	-4.3852472973352505e-04	2.4218776848352274e-03	-1.4545014026294704e-02	1.7827865757962216e-01	7.4594314763516370e-02	1.0368434281610578e-01
2500                    	2.0574701239000792e-02	1.2527336611497205e-02	8.0473646275035868e-03	3.6755058543330401e-04	-3.4600676505476498e-04	7.1355735048806899e-04	-5.2978205777141701e-04	2.2399859919968088e-03	-1.4544293030241597e-02	1.7827684904831750e-01	7.4594131493917151e-02	1.0368271755440035e-01
